Name,Metaphors,Emoji
Access Time,"number,24,Circle",⏰
Accessibility,"person,inclusive",♿
Accessibility Error,"person,inclusive,error",🚫
Accessibility Checkmark,"person,inclusive,plus",✅
Accessibility More,"person,inclusive",♿
Accessibility Question Mark,"person,inclusive,question,unknown",❓
Add,"plus,addition,new",➕
Add Circle,"plus,addition,new,circle",⨁
Add Square,"plus,addition,new,square",🟩
Add Square Multiple,"plus,addition,new,circle,stack,library",🗃️
Add Subtract Circle,"plus,subtract,minus,new,addition,circle,exposure",➕
Airplane,"flight,vehicle,travel",✈️
Airplane Landing,"flight,vehicle,travel,take off",🛬
Airplane Take Off,"flight,vehicle,travel,take off",🛫
Album,"photo,book,pictures,image",📔
Album Add,"photo,book,pictures,image",📔
Alert,"bell,alarm,chime",🔔
Alert Badge,"bell,alarm,chime",🔔
Alert Off,"bell,alarm,chime,off,silence",🔕
Alert On,"bell,alarm,chime,on,loud",🔔
Alert Snooze,"bell,alarm,chime,silence,snooze",😴
Alert Urgent,"bell,alarm,chime,loud,important",🚨
Align Bottom,"alignment,edit,design",⬇️
Align Center Horizontal,"alignment,edit,design",↔️
Align Center Vertical,"alignment,edit,design",↕️
Align Distribute Bottom,"align,distribute,bottom",⬇️
Align Distribute Left,"align,distribute,top",⬅️
Align Distribute Right,"align,distribute,right",➡️
Align Distribute Top,"align,distribute,top",⬆️
Align End Horizontal,"alignment,edit,design",↔️
Align End Vertical,"alignment,edit,design",↕️
Align Left,"alignment,edit,design",⬅️
Align Right,"alignment,edit,design",➡️
Align Space Around Horizontal,"alignment,edit,design",↔️
Align Space Around Vertical,"alignment,edit,design",↕️
Align Space Between Horizontal,"alignment,edit,design",↔️
Align Space Between Vertical,"alignment,edit,design",↕️
Align Space Evenly Horizontal,"alignment,edit,design",↔️
Align Space Evenly Vertical,"alignment,edit,design",↕️
Align Space Fit Vertical,"alignment,edit,design",↕️
Align Start Horizontal,"alignment,edit,design",↔️
Align Start Vertical,"alignment,edit,design",↕️
Align Straighten,"align,alignment,edit,design,straighten,rotate,rotation,image,crop",🔄
Align Stretch Horizontal,"alignment,edit,design",↔️
Align Stretch Vertical,"alignment,edit,design",↕️
Align Top,"alignment,editing,design",⬆️
Animal Cat,"pet,creature",🐱
Animal Dog,"pet,creature",🐶
Animal Paw Print,"pet,creature,cat,kitten,dog,puppy,friend",🐾
Animal Rabbit,"pet,creature,fast,quick,hop",🐇
Animal Rabbit Off,"pet,creature,fast,quick,hop,cruelty free",🐇
Animal Turtle,"pet,creature,crawl,slow",🐢
App Folder,"collection,ui",🗂️
App Generic,"collection,ui",📦
App Recent,"collection,ui",🕑
App Store,"collection,ui",🏬
App Title,"collection,ui",🏷️
Approvals App,"checkmark,arrow clockwise,teams",✅
Apps,"plugin,square,stack",🧩
Apps Add In,"plugin,square,stack",🧩
Apps List,"collection,ui,list,cell",📋
Apps List Detail,"collection,ui,list,cell",📋
Apps Settings,"plugin,square,stack,settings",⚙️
Apps Shield,"plugin,square,stack,shield",🛡️
Archive Arrow Back,"box,package,collection",📦
Archive Multiple,"box,package,collection",📦
Archive,"box,package,collection",📦
Archive Settings,"box,package,collection",⚙️
Arrow Autofit Content,"width,height,resize,fill",↔️
Arrow Autofit Down,"width,height,resize,fill",⬇️
Arrow Autofit Height,"width,height,resize,fill",↕️
Arrow Autofit Height Dotted,"width,height,resize,fill",↕️
