Name,Metaphors,Emoji
Menu,"navigation,hamburger,main menu",☰
Home,"house,safety,location,space,wfh",🏠
Search,"magnifying glass,zoom,inspect,review",🔍
Settings,"gear,options,cog",⚙️
User,"person,profile,account,avatar",👤
Users,"group,team,organization,contact,guest",👥
Add,"plus,addition,new",➕
Remove,"minus,subtract,delete",➖
Edit,"pencil,update,create,draw",✏️
Delete,"trash,can,remove,edit,byee",🗑️
Save,"floppy disk,device,old",💾
Download,"arrow,down,save",⬇️
Upload,"arrow,up,send",⬆️
Close,"x,close,cancel,remove",❌
Check,"approval,selected",✔️
Cancel,"x,close,cancel,remove",❌
Arrow Left,"back,previous",⬅️
Arrow Right,"forward,next",➡️
Arrow Up,"up,move",⬆️
Arrow Down,"down,move",⬇️
Expand,"maximize,open,show more",⤢
Collapse,"minimize,close,show less",⤡
Refresh,"reload,update,sync",🔄
Sync,"reload,update,sync",🔄
Info,"information,details,content",ℹ️
Warning,"alert,exclamation,triangle,issue",⚠️
Error,"alert,exclamation,triangle,issue",⚠️
Success,"check,approved,done",✅
Help,"question,unknown,text,type,did you know",❓
Lock,"security,access,protected,safety",🔒
Unlock,"security,access,protected,safety",🔓
Eye,"show,view,visible",👁️
Eye Off,"hide,view,not visible",🙈
Filter,"dropdown,sort,line,3 lines",🔽
Sort,"order,arrange,sort",↕️
Calendar,"time,date,planning",📅
Clock,"time,watch,analog",⏰
Bell,"notification,alert",🔔
Bell Off,"notification,alert,off",🔕
Star,"favorite,rating,vote",⭐
Star Off,"favorite,rating,vote,slash",🚫
Heart,"like,favorite,love",❤️
Heart Off,"like,favorite,love,off",💔
Share,"arrow,square,forward,right,send",🔗
Link,"link,share,web,internet",🔗
Unlink,"link,remove,disconnect",❌
Copy,"share,paste,clipboard",📋
Paste,"clipboard,insert",📋
Cut,"copy,paste,share,move",✂️
Undo,"back,undo",↩️
Redo,"forward,redo",↪️
Download,"arrow,down,save",⬇️
Upload,"arrow,up,send",⬆️
Camera,"image,photography,picture",📷
Image,"photo,picture,snapshot,content",🖼️
Video,"video,film,clip,media,content",🎥
Play,"control,playback,start,begin",▶️
Pause,"control,playback,freeze",⏸️
Stop,"control,playback,stop",⏹️
Record,"control,playback,record",⏺️
Microphone,"audio,sound,record",🎤
Microphone Off,"audio,sound,record,off",🔇
Volume Up,"audio,sound,volume",🔊
Volume Down,"audio,sound,volume",🔉
Volume Off,"audio,sound,volume,off",🔇
Mute,"audio,sound,volume,off",🔇
Speaker,"audio,sound,volume",🔊
Headphones,"audio,sound,volume,device",🎧
Phone,"device,mobile,cellular telephone",📱
Tablet,"device,screen,tablet",📱
Laptop,"device,computer,laptop",💻
Desktop,"device,computer,desktop",🖥️
Wifi,"wireless fidelity,connect,internet,web,connection",📶
Wifi Off,"wireless fidelity,connect,internet,web,connection,off",🚫
Bluetooth,"device,connection",🔵
Location,"pin,marker,map,location,travel",📍
Map,"travel,navigation",🗺️
Pin,"save,share,post,favorite",📌
Unpin,"save,share,post,favorite,remove",❌
Folder,"analog,collection",📁
Folder Open,"analog,collection,open",📂
Folder Add,"analog,collection,plus,new",📁
File,"document,paper,work,file",📄
Files,"documents,paper,work,file,stack",📚
Document,"paper,work,file,analog,vertical",📄
Document Add,"paper,work,file,analog,new,plus,create,vertical",📄
Document Edit,"paper,work,file,analog,vertical,edit",✏️
Document Delete,"paper,work,file,analog,vertical,delete",🗑️
